time,lacI,Plac_lacI,mRNA,Plac
1400.0,20.625,0.375,0.0,0.625
1410.0,20.785715,0.21428572,0.0,0.78571427
1420.0,20.8,0.2,0.0,0.8
1430.0,20.0,0.4,0.0,0.6
1440.0,19.714285,0.14285715,0.0,0.85714287
1450.0,18.4,0.3,0.0,0.7
1460.0,18.0,0.0,0.0,1.0
1470.0,16.625,0.3125,0.0,0.6875
1480.0,15.722222,0.2777778,0.0,0.7222222
1490.0,15.692307,0.30769232,0.0,0.6923077
1500.0,15.777778,0.22222222,0.0,0.7777778
1510.0,14.642858,0.35714287,0.0,0.64285713
1520.0,14.75,0.25,0.0,0.75
1530.0,14.636364,0.36363637,0.0,0.6363636
1540.0,14.583333,0.41666666,0.0,0.5833333
1550.0,14.833333,0.16666667,0.0,0.8333333
1560.0,14.625,0.375,0.0,0.625
1570.0,14.8,0.2,0.0,0.8
1580.0,14.727273,0.27272728,0.0,0.72727275
1590.0,13.75,0.41666666,0.0,0.5833333
1600.0,13.5,0.41666666,0.0,0.5833333
1610.0,12.65,0.35,0.0,0.65
1620.0,12.666667,0.33333334,0.0,0.6666667
1630.0,12.6,0.4,0.0,0.6
1640.0,12.533334,0.46666667,0.0,0.53333336
1650.0,12.571428,0.42857143,0.0,0.5714286
1660.0,12.571428,0.42857143,0.0,0.5714286
1670.0,12.625,0.375,0.0,0.625
1680.0,12.5,0.5,0.0,0.5
1690.0,12.631579,0.36842105,0.0,0.6315789
1700.0,12.058824,0.3529412,0.0,0.64705884
1710.0,11.727273,0.27272728,0.0,0.72727275
1720.0,11.666667,0.33333334,0.0,0.6666667
1730.0,10.666667,0.33333334,0.0,0.6666667
1740.0,10.642858,0.35714287,0.0,0.64285713
1750.0,10.5625,0.4375,0.0,0.5625
1760.0,10.6,0.4,0.0,0.6
1770.0,10.6,0.4,0.0,0.6
1780.0,10.571428,0.42857143,0.0,0.5714286
1790.0,10.071428,0.42857143,0.0,0.5714286
1800.0,9.428572,0.5714286,0.0,0.42857143
1810.0,9.538462,0.46153846,0.0,0.53846157
1820.0,9.6,0.4,0.0,0.6
1830.0,9.555555,0.44444445,0.0,0.5555556
1840.0,9.583333,0.41666666,0.0,0.5833333
1850.0,9.6,0.4,0.0,0.6
1860.0,9.642858,0.35714287,0.0,0.64285713
1870.0,9.571428,0.42857143,0.0,0.5714286
1880.0,9.466666,0.53333336,0.0,0.46666667
1890.0,9.045455,0.4090909,0.0,0.59090906
1900.0,8.529411,0.47058824,0.0,0.5294118
1910.0,8.666667,0.33333334,1.0,0.6666667
1920.0,8.846154,0.53846157,1.0,0.46153846
1930.0,10.227273,0.4090909,1.0,0.59090906
1940.0,11.846154,0.46153846,1.0,0.53846157
1950.0,12.857142,0.5,1.0,0.5
1960.0,15.2,0.4,1.0,0.6
1970.0,16.90909,0.36363637,1.0,0.6363636
1980.0,19.0,0.0,0.0,1.0
